,Nombre_prod,Cantidad_prod,Precio_prod
50,SALCHICHÓN DE POLLO BRAKEL 500 G,"500 g (g a $ 9,7)",$ 4.850
51,SALCHICHÓN CERVECERO VIANDÉ 500 G,"500 g (g a $ 14,6)",$ 7.300
52,SALCHICHA TIPO PARRILLA BIG BOB 280 G,"280 g (g a $ 24,96)",$ 6.990
53,SALCHICHA PERRO AMERICANA BIG BOB 430 G,"430 g (g a $ 17,65)",$ 7.590
54,SALCHICHÓN TRADICIONAL VIANDÉ 500 G,"500 g (g a $ 9,38)",$ 4.690
55,CHORIZO VELA + SALAMI LOURISIERRA 80 G,"80 g (g a $ 81,13)",$ 6.490
56,CABANO VIANDE 68 GR X 4 UD,"68 g (g a $ 42,5)",$ 2.890
57,CHORIZO CAMPESINO AHUMADO VIANDÉ 225 GRS,"225 g (g a $ 14,62)",$ 3.290
58,CHORIZO TIPO TERNERA VIANDÉ 500 G,"500 g (g a $ 16,9)",$ 8.450
59,CHORIZO SANTARROSANO VIANDÉ 225 G,"225 g (g a $ 19,96)",$ 4.490
60,MORTADELA POLLO PREMIUM BRAKEL 250 G,"250 g (g a $ 15,8)",$ 3.950
61,JAMÓN DE CERDO PREMIUM VIANDÉ 300 G,"300 g (g a $ 22,63)",$ 6.790
62,LONGANIZA DE CERDO VIANDÉ 320 G,"320 g (g a $ 17,78)",$ 5.690
63,HAMBURGUESA DE RES VIANDÉ 450 G,"450 g (g a $ 18,33)",$ 8.250
64,TOCINETA TIPO SANDWICH VIANDÉ 200 G,"200 g (g a $ 24,95)",$ 4.990
65,SALCHICHA MINIMANGUERA VIANDÉ 480 G,"480 g (g a $ 8,31)",$ 3.990
66,JAMÓN DE CERDO VIANDÉ 400 GRS,"400 g (g a $ 16,48)",$ 6.590
67,MORTADELA FINA VIANDÉ 225 GRS,"225 g (g a $ 9,73)",$ 2.190
68,SALCHICHA PARRILLA VIANDÉ 500 GRS,"500 g (g a $ 15,98)",$ 7.990
69,HAMBURGUESA DE POLLO BRAKEL 450 G,"450 g (g a $ 18,33)",$ 8.250
70,TOCINETA AHUMADA VIANDÉ 150 GRS,150 g (g a $ 31),$ 4.650
71,SALCHICHA TRADICIONAL VIANDÉ 450 GRS,"450 g (g a $ 11,31)",$ 5.090
72,BUTIFARRA VIANDE 500 G,"500 g (g a $ 12,78)",$ 6.390
73,JAMÓN PECHUGA PAVO DELISHAVED BAR-S 227 G...,"227 g (g a $ 60,13)",$ 13.650
74,PERA VERDE IMPORTADA 1000 G,"1000 g (g a $ 8,99)",$ 8.990
75,MANZANA ROYAL GALA 1000 GRS,"1000 g (g a $ 8,89)",$ 8.890
76,CEBOLLA LARGA 500 GR,"500 g (g a $ 4,98)",$ 2.490
77,PIMENTÓN X 500 G,"500 g (g a $ 5,3)",$ 2.650
78,AGUACATE HASS 500 G,"500 g (g a $ 4,7)",$ 2.350
79,PLÁTANO HARTÓN 1000 G,"1000 g (g a $ 3,85)",$ 3.850
80,AJO MALLA 3 UNIDADES - 100 G,"100 g (g a $ 13,9)",$ 1.390
81,NARANJA MALLA 1500 G,"1500 g (g a $ 2,73)",$ 4.090
82,PAPA CAPIRA 2000 GRS,"2000 g (g a $ 2,4)",$ 4.790
83,TOMATE CHONTO 500 G,"500 g (g a $ 3,7)",$ 1.850
84,CEBOLLA CABEZONA 500 G,"500 g (g a $ 3,58)",$ 1.790
85,LIMÓN TAHITÍ 500 G,"500 g (g a $ 2,78)",$ 1.390
86,TOMATES ENTEROS PELADOS DELIZIARE 400 G,"240 g (g a $ 18,71)",$ 4.490
87,CARNE DE DIABLO ZENÚ 80 G,"80 g (g a $ 58,63)",$ 4.690
88,CONSERVA DE PESCADO EN TINAPA 155 G NETO,"101 g (g a $ 32,18)",$ 3.250
89,CHILE CON CARNE CRACHOS 300 G,"300 g (g a $ 14,83)",$ 4.450
90,FRÍJOLES CON TOCINO COOLTIVO 320 G,"320 g (g a $ 11,84)",$ 3.790
91,ATÚN RALLADO EL NAVÍO 170 G,"111 g (g a $ 24,23)",$ 2.690
92,ENSALADA CAMPESINA COOLTIVO 300 G,"190 g (g a $ 15,74)",$ 2.990
93,ATÚN ACEITE DE OLIVA CARLO FORTE 160 G,"104 g (g a $ 60,48)",$ 6.290
94,ENSALADA ATÚN CON VEGETALES Y MAÍZ CARLO FORTE ...,"120 g (g a $ 40,75)",$ 4.890
95,TOMATES SECOS AINOA 180 G,"100 g (g a $ 79,9)",$ 7.990
96,FRIJOL REFRITO CRACHOS 300 G,"300 g (g a $ 15,63)",$ 4.690
97,CEREZAS MARRASCHINO AINOA 125 G,"75 g (g a $ 46,53)",$ 3.490
98,MAÍZ TIERNO COOLTIVO 340 G,"285 g (g a $ 15,75)",$ 4.490
99,CONSERVA DE PESCADO CARLO FORTE 425 G,"280 g (g a $ 20,18)",$ 5.650
100,SALCHICHA VIENA VIANDÉ 150 G,"95 g (g a $ 26,21)",$ 2.490
101,ALCAPARRAS EN VINAGRE AINOA 125 GR,"65 g (g a $ 51,54)",$ 3.350
102,CHAMPIÑONES TAJADOS COOLTIVO 280 G,"170 g (g a $ 27,94)",$ 4.750
103,CONCHAS DORIA 250 G,"250 g (g a $ 7,8)",$ 1.950
104,CABELLO DE ÁNGEL DORIA 250 G,"250 g (g a $ 7,8)",$ 1.950
105,SPAGUETTI CAPRÍSSIMA 250 GRS,250 g (g a $ 5),$ 1.250
106,CONCHA CAPRÍSSIMA 250 GRS,250 g (g a $ 5),$ 1.250
107,CABELLO DE ÁNGEL CAPRÍSSIMA 250 GRS,250 g (g a $ 5),$ 1.250
108,SPAGHETTI DELIZIARE 500 G,"500 g (g a $ 7,38)",$ 3.690
109,PENNE DELIZIARE 500 G,"500 g (g a $ 7,38)",$ 3.690
110,FUSILLI MIXTO DELIZIARE 500 G,"500 g (g a $ 9,98)",$ 4.990
111,PASTA PARA LASAGNA DELIZIARE X 450 GR,"450 g (g a $ 15,53)",$ 6.990
112,SPAGHETTI DORIA 250 G,"250 g (g a $ 7,8)",$ 1.950
113,ESPARCIBLE MULTIUSOS RAMA 250 G,"250 g (g a $ 18,76)",$ 4.690
114,ACEITE DE CANOLA CANOLI VITALE 2000 ML.,"2000 ml (ml a $ 11,74)",$ 23.490
115,ACEITE GOTA DE ORO 3000 ML,"3000 ml (ml a $ 10,33)",$ 30.990
116,ACEITE DE CANOLA DON OLIO 2000 ML,"2000 ml (ml a $ 14,49)",$ 28.990
117,ESPARCIBLE DON OLIO LIGHT 250 G,"250 g (g a $ 17,16)",$ 4.290
118,ACEITE SPRAY CANOLA DON OLIO 180 ML,"180 ml (ml a $ 58,28)",$ 10.490
119,MANTEQUILLA CLARIFICADA GHEE NATRI 180GR,"180 g (g a $ 61,06)",$ 10.990
120,ACEITE DE CANOLA DON OLIO 1000 ML,"1000 ml (ml a $ 13,45)",$ 13.450
121,ESPARCIBLE VEGETAL DON OLIO 500 G,"500 g (g a $ 13,58)",$ 6.790
122,BARRA ESPARCIBLE DON OLIO 125 G,"125 g (g a $ 10,32)",$ 1.290
123,ESPARCIBLE DE CANOLA DON OLIO 250 G,"250 g (g a $ 16,76)",$ 4.190
124,ACEITE OLIVA EXTRAVIR CASTELL D F 1000ML,"1000 ml (ml a $ 24,99)",$ 24.990
125,ACEITE OLIVA EXTRAVIRGEN CASTELL DEL FERRO 500 ...,"500 ml (ml a $ 25,98)",$ 12.990
126,ACEITE DE COCO VIRGEN NATRI 210 ML,"210 ml (ml a $ 47,57)",$ 9.990
127,PANELA PULVERIZADA EL REFUGIO 500 G,"500 g (g a $ 6,18)",$ 3.090
128,ARROZ DIANA 1000 G,"1000 g (g a $ 3,89)",$ 3.890
129,ARROZ INTEGRAL DIANA 1.000 G,"1000 g (g a $ 3,99)",$ 3.990
130,AZÚCAR BLANCA 1000 GRS,"1000 g (g a $ 4,19)",$ 4.190
131,ENDULZANTE CON STEVIA NATRI 180 G,"180 g (g a $ 30,28)",$ 5.450
132,FRÍJOL CARGAMANTO BLANCO EL ESTÍO 500 GR,"500 g (g a $ 15,98)",$ 7.990
133,ENDULZANTE FRASCO DULCRALIGHT 180 GRS,"180 g (g a $ 27,72)",$ 4.990
134,FRÍJOL BOLÓN ROJO EL ESTÍO 500 G,"500 g (g a $ 11,98)",$ 5.990
135,AZÚCAR MORENA 1000 GRS,"1000 g (g a $ 4,25)",$ 4.250
136,FRÍJOL CARGAMANTO ROJO EL ESTÍO 500 GRS,"500 g (g a $ 13,98)",$ 6.990
137,FRÍJOL CARAOTA GRANIPACK 500 G,"500 g (g a $ 6,3)",$ 3.150
138,ARVEJA EL ESTIO 500 GRS,"500 g (g a $ 3,9)",$ 1.950
139,LENTEJA EL ESTÍO 500 GRS,"500 g (g a $ 6,38)",$ 3.190
140,MAÍZ PIRA EL ESTÍO 500 GRS,"500 g (g a $ 4,78)",$ 2.390
141,GARBANZO EL ESTÍO 500 GRS,"500 g (g a $ 6,38)",$ 3.190
142,ARROZ EL ESTÍO 500 GRS,"500 g (g a $ 3,78)",$ 1.890
143,ARROZ ECONÓMICO EL ESTÍO 454 G,"454 g (g a $ 3,72)",$ 1.690
144,ARROZ PREMIUM EL ESTIO 2500 G,"2500 g (g a $ 3,86)",$ 9.650
145,ARROZ PREMIUM EL ESTÍO 1000 GRS,"1000 g (g a $ 3,99)",$ 3.990
146,PANELA CUADRADA 1000 G,"1000 g (g a $ 4,59)",$ 4.590
147,CALDO DE COSTILLA MAGGI 10 UND 80 G,"100 g (g a $ 42,9)",$ 4.290
148,CALDO DE GALLINA MAGGI 10 UND 88 G,110 g (g a $ 39),$ 4.290
149,CALDO DE GALLINA SPECIARIA 8 UND - 84 G,"84 g (g a $ 21,31)",$ 1.790
150,CREMA DE CHÓCLO VELSUP 70 G,"70 g (g a $ 19,86)",$ 1.390
151,CREMA DE POLLO CON CHAMPIÑONES VELSUP 70 G...,"70 g (g a $ 28,29)",$ 1.980
152,SOPA DE GALLINA CON FIDEOS VELSUP 65 G,"65 g (g a $ 16,77)",$ 1.090
153,CALDO DE COSTILLA SPECIARIA 84 G 8 CUBOS,"84 g (g a $ 21,31)",$ 1.790
154,BASE PARA SALSA BOLOÑESA RICO 50 G,"50 g (g a $ 41,8)",$ 2.090
155,SOPA AJIACO RICO 45 GR,"45 g (g a $ 28,67)",$ 1.290
156,SOPA CREMA DE POLLO RICO 45 GR,"45 g (g a $ 33,11)",$ 1.490
157,BASE PARA SALSA BECHAMEL/GULASH RICO 45 G...,"45 g (g a $ 46,44)",$ 2.090
158,SAL REFISAL 1000 G,"1000 g (g a $ 1,65)",$ 1.650
159,MEZCLA CONDIMENTOS SAZONAREY 35 G,"35 g (g a $ 27,14)",$ 950
160,PASTA DE PIMENTÓN DELIKA 110 G,"110 g (g a $ 16,27)",$ 1.790
161,MEZCLA PARA ADOBAR DELIKA 110 G,"110 g (g a $ 16,27)",$ 1.790
162,PASTA DE AJO DELIKA 110 G,"110 g (g a $ 16,27)",$ 1.790
163,BICARBONATO DE SODIO SPECIARIA 200 GR,"200 g (g a $ 11,45)",$ 2.290
164,CANELA MOLIDA PURA SPECIARIA 28 G,"28 g (g a $ 92,86)",$ 2.600
165,TOMILLO SPECIARIA 20 G,20 g (g a $ 95),$ 1.900
166,ALBAHACA SPECIARIA 20 G,"20 g (g a $ 87,5)",$ 1.750
167,COLORANTE NATURAL CURCUMA SPECIARIA 28 G,"28 g (g a $ 71,07)",$ 1.990
168,COMINO SPECIARIA 28 G,"28 g (g a $ 78,57)",$ 2.200
169,LAUREL SPECIARIA 20 G,"20 g (g a $ 87,5)",$ 1.750
170,OREGANO SPECIARIA 20 G,"20 g (g a $ 99,5)",$ 1.990
171,PIMIENTA MOLIDA SPECIARIA 28 G,"28 g (g a $ 71,07)",$ 1.990
172,AJO GRANULADO SPECIARIA 28 G,"28 g (g a $ 71,07)",$ 1.990
173,CANELA EN ASTILLAS SPECIARIA 20 GR,"20 g (g a $ 109,5)",$ 2.190
174,COCO RALLADO SPECIARIA 100 GR,"100 g (g a $ 36,9)",$ 3.690
175,MORINGA EN HOJAS P&I 8 G,"8 g (g a $ 198,75)",$ 1.590
176,PAPRIKA SPECIARIA 28 G,"28 g (g a $ 56,79)",$ 1.590
177,JENGIBRE EN POLVO SPECIARIA 28 G,"28 g (g a $ 63,93)",$ 1.790
178,CURRY EN POLVO SPECIARIA 28 G,"28 g (g a $ 53,21)",$ 1.490
179,CLAVO ENTERO SPECIARIA 20 G,"20 g (g a $ 144,5)",$ 2.890
180,HARINA DE TRIGO CON POLVO PARA HORNEAR,"500 g (g a $ 4,38)",$ 2.190
181,GRANO ENTERO DE QUINUA,"300 g (g a $ 15,97)",$ 4.790
182,PREMEZCLA PARA PANCAKES QUICKSY 300 G,"300 g (g a $ 8,63)",$ 2.590
183,HARINA DE TRIGO QUICKSY 500 G,"500 g (g a $ 3,78)",$ 1.890
184,PREMEZCLA DE GALLETAS CON CHIPS DE CHOCOLATE QU...,"350 g (g a $ 11,86)",$ 4.150
185,HARINA DE MAIZ BLANCO QUICKSY 1000 G,"1000 g (g a $ 3,15)",$ 3.150
186,HARINA DE MAIZ AMARILLO QUICKSY 1000 G,"1000 g (g a $ 3,15)",$ 3.150
187,CHOCO KRISPIS KELLOGG¿S 200 G,"200 g (g a $ 24,95)",$ 4.990
188,ZUCARITAS KELLOGG¿S 200 G,"200 g (g a $ 24,95)",$ 4.990
189,CEREAL FLIPS CHOCOLATE 400 G,"400 g (g a $ 26,73)",$ 10.690
190,FROOT LOOPS KELLOGG°S 160 G,"160 g (g a $ 31,19)",$ 4.990
191,CEREAL ORIGINAL FITNESS 230 G,"230 g (g a $ 34,74)",$ 7.990
192,CEREAL DE AVENA CON CANELA FIT GRAAN 300 G...,"300 g (g a $ 29,97)",$ 8.990
193,BARRAS DE CEREAL FIT GRAAN 138 G,"138 g (g a $ 31,09)",$ 4.290
194,CEREAL DE MAIZ Y QUINUA FIT GRAAN 300 G,"300 g (g a $ 15,3)",$ 4.590
195,HOJUELA DE MAIZ NATURAL FIT GRAAN 300 GR,"300 g (g a $ 16,3)",$ 4.890
196,HOJUELAS AZUCARADAS FIOCCO 300 G,"300 g (g a $ 15,63)",$ 4.690
197,ARROZ ACHOCOLATADO FIOCCO 320 G,"320 g (g a $ 16,72)",$ 5.350
198,AROS FRUTALES FIOCCO 230 G,"230 g (g a $ 18,7)",$ 4.300
199,AVENA EN HOJUELAS FIT GRAAN 250 G,"250 g (g a $ 5,56)",$ 1.390
200,GRANOLA FRUTOS ROJOS FIT GRAAN 350 G,"350 g (g a $ 12,43)",$ 4.350
201,GRANOLA COCO Y PASAS FIT GRAAN 350 G,"350 g (g a $ 12,43)",$ 4.350
202,TAMAL TOLIMENSE 2 UND 400 G,"400 g (g a $ 18,38)",$ 7.350
203,PIZZA DE JAMÓN Y QUESO / HAWAIANA BACKEREI 130 ...,"130 g (g a $ 23,77)",$ 3.090
204,QUINUA PREPARADA CUCINA & AMORE 225 G,"225 g (g a $ 35,51)",$ 7.990
205,SALSA SHOWY 200 G,"200 g (g a $ 19,45)",$ 3.890
206,VINAGRETA RANCH ZEV X 240 GR,"240 g (g a $ 14,96)",$ 3.590
207,VINAGRETA ITALIANA ZEV 240 G,"240 g (g a $ 14,96)",$ 3.590
208,MAYONESA FRUCO 480 G,"480 g (g a $ 15,31)",$ 7.350
209,SALSA TÁRTARA ZEV 200GR,"200 g (g a $ 9,95)",$ 1.990
210,ESENCIA DE VAINILLA SPECIARIA 155ML,"155 ml (ml a $ 12,84)",$ 1.990
211,SALSA DE TOMATE FRUCO 650G,"650 g (g a $ 11,52)",$ 7.490
212,SALSA DE AJÍ PICANTE MASH 175 GR,"175 g (g a $ 10,8)",$ 1.890
213,PASTA DE TOMATE ZEV 200 G,"200 g (g a $ 10,95)",$ 2.190
214,MOSTAZA ZEV 200 G,"200 g (g a $ 8,45)",$ 1.690
215,MAYONESA BAJA EN GRASA ZEV 500 G,"500 g (g a $ 5,58)",$ 2.790
216,MAYONESA CON MOSTAZA ZEV 200 GRS,"200 g (g a $ 11,95)",$ 2.390
217,SALSA BBQ MASH 550 G,"550 g (g a $ 9,25)",$ 5.090
218,VINAGRETA LIGHT ZEV 265 G,"265 g (g a $ 14,91)",$ 3.950
219,AJÍ PICANTE MASH 250 G,"250 g (g a $ 11,96)",$ 2.990
220,MIEL DE ABEJAS MEEL 350 G,"350 g (g a $ 23,4)",$ 8.190
221,SALSA ROSADA ZEV 200 G,"200 g (g a $ 7,25)",$ 1.450
222,SALSA PESTO VERDE COLLEGRANDE 190 G,"190 g (g a $ 29,42)",$ 5.590
223,MERMELADA DE MORA ZEV 200 G,"200 g (g a $ 10,45)",$ 2.090
224,SYRUP QUICKSY 355 ML,"355 ml (ml a $ 13,49)",$ 4.790
225,SALSA DE PIÑA ZEV X 200 GR,"200 g (g a $ 9,75)",$ 1.950
226,SALSA MEXICANA CRACHOS 220 G,"220 g (g a $ 27,23)",$ 5.990
227,CREMA DE ALMENDRAS SIN AZUCAR NATRI 160G,"160 g (g a $ 81,19)",$ 12.990
228,SALSA TERIYAKI ZEV 190 GR,190 g (g a $ 11),$ 2.090
229,VINAGRE DE SIDRA DE MANZANA NATRI 250ML,"250 ml (ml a $ 15,96)",$ 3.990
230,VINAGRE BLANCO ZEV 1000 ML,"1000 ml (ml a $ 2,85)",$ 2.850
231,SALSA DE QUESO CRACHOS 200 G,"200 g (g a $ 16,45)",$ 3.290
232,GUACAMOLE CRACHOS 200 G,"200 g (g a $ 16,45)",$ 3.290
233,VINAGRE BLANCO ZEV 500 ML,"500 ml (ml a $ 3,58)",$ 1.790
234,SALSA PARA CARNES ZEV 195 G,"195 g (g a $ 9,18)",$ 1.790
235,SALSA DE SOYA ZEV 190 G,"190 g (g a $ 7,32)",$ 1.390
236,SALSA NEGRA ZEV 190 G,"190 g (g a $ 9,21)",$ 1.750
237,SALSA DE TOMATE ZEV 500 G,"500 g (g a $ 5,58)",$ 2.790
238,SALSA NAPOLITANA DELIZIARE 400 G,"400 g (g a $ 13,22)",$ 5.290
239,SALSA BOLOÑESA DELIZIARE 400 G,"400 g (g a $ 14,97)",$ 5.990
240,MERMELADA SIN AZUCAR NATRI 220GR,"220 g (g a $ 24,77)",$ 5.450
241,MERMELADA SURTIDA TRADICIÓN 1915 300GR,"300 g (g a $ 17,5)",$ 5.250
242,PASTELITOS RECREO MIX BIMBO 5 UND 149 G,"149 g (g a $ 21,81)",$ 3.250
243,ACHIRAS DEL HUILA 120 G,"120 g (g a $ 43,25)",$ 5.190
244,ROSCON RESOBADO BOCADILLO JOSMAR 150 G,"150 g (g a $ 21,27)",$ 3.190
245,PINGÜINOS MARINELA 4 UND - 160 G,"160 g (g a $ 26,81)",$ 4.290
246,PAN RÚSTICO MULTIGRANO PERMAN 420 G,"420 g (g a $ 15,69)",$ 6.590
247,BROWNIE CON AREQUIPE HORNEADITOS 80 GRS,"80 g (g a $ 20,63)",$ 1.650
248,PAN DE YUCA HORNEADITOS 10 UND 90 G,"90 g (g a $ 32,11)",$ 2.890
249,WAFFLE SABOR NATURAL BACKEREI 216 G,"216 g (g a $ 22,64)",$ 4.890
250,LENGUAS DULCES HORNEADITOS 100 G,"100 g (g a $ 18,9)",$ 1.890
251,PALITROQUES HORNEADITOS 100 G,"100 g (g a $ 21,5)",$ 2.150
252,TOSTADA MANTEQUILLA HORNEADITOS 100 G,"100 g (g a $ 21,9)",$ 2.190
253,PAN INTEGRAL MIEL Y PASAS HORNEADITOS 340 G...,"340 g (g a $ 7,91)",$ 2.690
254,GALLETA CUCA HORNEADITOS 12 UND - 340 G,"340 g (g a $ 9,38)",$ 3.190
255,MINI BROWNIES HORNEADITOS 15 UND - 350 G,"350 g (g a $ 22,54)",$ 7.890
256,COCADAS TRADICIÓN 1915 150 GRS,"150 g (g a $ 30,33)",$ 4.550
257,QUESUDITOS HORNEADITOS 250 G,"250 g (g a $ 19,8)",$ 4.950
258,BRAZO DE REINA HORNEADITOS 85 G,"85 g (g a $ 15,88)",$ 1.350
259,CHOCO TAJADA HORNEADITOS 70 G,"70 g (g a $ 17,86)",$ 1.250
260,PAN HAMBURGUESA HORNEADITOS 4 UND 320 G,"320 g (g a $ 7,16)",$ 2.290
261,PALO DE QUESO MOZZARELLA BACKEREI 480 GRS...,"480 g (g a $ 11,98)",$ 5.750
262,PAN CAIMÁN HORNEADITOS 500 G,"500 g (g a $ 7,9)",$ 3.950
263,PASTEL DE GUAYABA HORNEADITOS 20 UND - 190 G...,"190 g (g a $ 18,16)",$ 3.450
264,TOSTADAS FINAS HIERBAS HORNEADITOS 90 G,"90 g (g a $ 23,22)",$ 2.090
265,TOSTADAS CON AJO HORNEADITOS 90 G,"90 g (g a $ 23,22)",$ 2.090
266,PAN TAJADO ARTESANAL INTEGRAL HORNEADITOS 500 G...,"500 g (g a $ 11,78)",$ 5.890
267,MINI CROISSANT HORNEADITOS 340 GRS,"340 g (g a $ 11,03)",$ 3.750
268,PAN PERRO CON AJONJOLÍ HORNEADITOS 6 UND 370 G...,"370 g (g a $ 8,51)",$ 3.150
269,PAN LECHE HORNEADITOS 10 UND 440 GRS,"440 g (g a $ 7,48)",$ 3.290
270,TORTA NEGRA HORNEADITOS 80 GRS,"80 g (g a $ 20,63)",$ 1.650
271,TOSTADA SURTIDA HORNEADITOS 100 G,"100 g (g a $ 25,9)",$ 2.590
272,CORAZONES HORNEADITOS 20 UND - 210 G,"210 g (g a $ 16,43)",$ 3.450
273,TOSTADA NATRI MULTICEREAL70 GRS / MAÍZ 90 GRS...,70 g (g a $ 45),$ 3.150
274,TOSTADA CLÁSICA HORNEADITOS 10 UND 150 G,150 g (g a $ 11),$ 1.650
275,TOSTADA INTEGRAL HORNEADITOS 10 UND 150G,"150 g (g a $ 11,67)",$ 1.750
276,PAN MULTIGRANOS NATRI 0 AZUCAR 450 G,"450 g (g a $ 9,76)",$ 4.390
277,COCADA TRADICIONAL NORMANDY 240 G,"240 g (g a $ 24,13)",$ 5.790
278,TIRUDITO SUPERCOCO (8g) 15U,"120 g (g a $ 26,58)",$ 3.190
279,GALLETA WAFER COCOSETTE 50 G,50 g (g a $ 25),$ 1.250
280,BOM BOM BUM FRESA PQ 6,"114 g (g a $ 19,21)",$ 2.190
281,CHOCOLATE KITKAT CHUNKY 40 GRS,"40 g (g a $ 56,25)",$ 2.250
282,HALLS LIMON Y MIEL 9S,"25 g (g a $ 51,6)",$ 1.290
283,TRIDENT MENTA SIN AZUCAR 5S,"8 g (g a $ 143,75)",$ 1.150
284,CREMA DE AVELLANAS NUZART 350 G,"350 g (g a $ 22,83)",$ 7.990
285,CREMA DE AVELLANAS DUO NUZART 350 G,"350 g (g a $ 19,97)",$ 6.990
